t1,t2,t3,alert_volume,monitor_size,attacks_in_NORMAL,attacks_in_MONITOR
0.4,0.55,0.7,57749,3921,3246,2139
0.4,0.55,0.75,57749,3921,3246,2139
0.4,0.55,0.8,57749,3921,3246,2139
0.4,0.55,0.85,57749,3921,3246,2139
0.4,0.55,0.9,57749,3921,3246,2139
0.4,0.6,0.7,55886,5784,3246,3251
0.4,0.6,0.75,55886,5784,3246,3251
0.4,0.6,0.8,55886,5784,3246,3251
0.4,0.6,0.85,55886,5784,3246,3251
0.4,0.6,0.9,55886,5784,3246,3251
0.4,0.65,0.7,55104,6566,3246,3694
0.4,0.65,0.75,55104,6566,3246,3694
0.4,0.65,0.8,55104,6566,3246,3694
0.4,0.65,0.85,55104,6566,3246,3694
0.4,0.65,0.9,55104,6566,3246,3694
0.4,0.7,0.75,51317,10353,3246,5798
0.4,0.7,0.8,51317,10353,3246,5798
0.4,0.7,0.85,51317,10353,3246,5798
0.4,0.7,0.9,51317,10353,3246,5798
0.4,0.75,0.8,51070,10600,3246,5919
0.4,0.75,0.85,51070,10600,3246,5919
0.4,0.75,0.9,51070,10600,3246,5919
0.45,0.55,0.7,57749,3918,3248,2137
0.45,0.55,0.75,57749,3918,3248,2137
0.45,0.55,0.8,57749,3918,3248,2137
0.45,0.55,0.85,57749,3918,3248,2137
0.45,0.55,0.9,57749,3918,3248,2137
0.45,0.6,0.7,55886,5781,3248,3249
0.45,0.6,0.75,55886,5781,3248,3249
0.45,0.6,0.8,55886,5781,3248,3249
0.45,0.6,0.85,55886,5781,3248,3249
0.45,0.6,0.9,55886,5781,3248,3249
0.45,0.65,0.7,55104,6563,3248,3692
0.45,0.65,0.75,55104,6563,3248,3692
0.45,0.65,0.8,55104,6563,3248,3692
0.45,0.65,0.85,55104,6563,3248,3692
0.45,0.65,0.9,55104,6563,3248,3692
0.45,0.7,0.75,51317,10350,3248,5796
0.45,0.7,0.8,51317,10350,3248,5796
0.45,0.7,0.85,51317,10350,3248,5796
0.45,0.7,0.9,51317,10350,3248,5796
0.45,0.75,0.8,51070,10597,3248,5917
0.45,0.75,0.85,51070,10597,3248,5917
0.45,0.75,0.9,51070,10597,3248,5917
0.5,0.55,0.7,57749,410,5166,219
0.5,0.55,0.75,57749,410,5166,219
0.5,0.55,0.8,57749,410,5166,219
0.5,0.55,0.85,57749,410,5166,219
0.5,0.55,0.9,57749,410,5166,219
0.5,0.6,0.7,55886,2273,5166,1331
0.5,0.6,0.75,55886,2273,5166,1331
0.5,0.6,0.8,55886,2273,5166,1331
0.5,0.6,0.85,55886,2273,5166,1331
0.5,0.6,0.9,55886,2273,5166,1331
0.5,0.65,0.7,55104,3055,5166,1774
0.5,0.65,0.75,55104,3055,5166,1774
0.5,0.65,0.8,55104,3055,5166,1774
0.5,0.65,0.85,55104,3055,5166,1774
0.5,0.65,0.9,55104,3055,5166,1774
0.5,0.7,0.75,51317,6842,5166,3878
0.5,0.7,0.8,51317,6842,5166,3878
0.5,0.7,0.85,51317,6842,5166,3878
0.5,0.7,0.9,51317,6842,5166,3878
0.5,0.75,0.8,51070,7089,5166,3999
0.5,0.75,0.85,51070,7089,5166,3999
0.5,0.75,0.9,51070,7089,5166,3999
0.55,0.6,0.7,55886,1863,5385,1112
0.55,0.6,0.75,55886,1863,5385,1112
0.55,0.6,0.8,55886,1863,5385,1112
0.55,0.6,0.85,55886,1863,5385,1112
0.55,0.6,0.9,55886,1863,5385,1112
0.55,0.65,0.7,55104,2645,5385,1555
0.55,0.65,0.75,55104,2645,5385,1555
0.55,0.65,0.8,55104,2645,5385,1555
0.55,0.65,0.85,55104,2645,5385,1555
0.55,0.65,0.9,55104,2645,5385,1555
0.55,0.7,0.75,51317,6432,5385,3659
0.55,0.7,0.8,51317,6432,5385,3659
0.55,0.7,0.85,51317,6432,5385,3659
0.55,0.7,0.9,51317,6432,5385,3659
0.55,0.75,0.8,51070,6679,5385,3780
0.55,0.75,0.85,51070,6679,5385,3780
0.55,0.75,0.9,51070,6679,5385,3780
0.6,0.6,0.7,55886,0,6497,0
0.6,0.6,0.75,55886,0,6497,0
0.6,0.6,0.8,55886,0,6497,0
0.6,0.6,0.85,55886,0,6497,0
0.6,0.6,0.9,55886,0,6497,0
0.6,0.65,0.7,55104,782,6497,443
0.6,0.65,0.75,55104,782,6497,443
0.6,0.65,0.8,55104,782,6497,443
0.6,0.65,0.85,55104,782,6497,443
0.6,0.65,0.9,55104,782,6497,443
0.6,0.7,0.75,51317,4569,6497,2547
0.6,0.7,0.8,51317,4569,6497,2547
0.6,0.7,0.85,51317,4569,6497,2547
0.6,0.7,0.9,51317,4569,6497,2547
0.6,0.75,0.8,51070,4816,6497,2668
0.6,0.75,0.85,51070,4816,6497,2668
0.6,0.75,0.9,51070,4816,6497,2668
